actor_name,actor_name,movies,revenues,costs,gross_profit,return,count
Emma Bell,Emma Bell,"[https://en.wikipedia.org/wiki/Final_Destination_5, https://en.wikipedia.org/wiki/Frozen_(2010_American_film)]",157900000.0,40000000.0,38950000.0,0.97375,2
Ned Beatty,Ned Beatty,"[https://en.wikipedia.org/wiki/Rampart_(film), https://en.wikipedia.org/wiki/Rango_(2011_film), https://en.wikipedia.org/wiki/Toy_Story_3]",1312700000.0,335000000.0,321350000.0,0.959253731343,3
Karen Gillan,Karen Gillan,"[https://en.wikipedia.org/wiki/Guardians_of_the_Galaxy_(film), https://en.wikipedia.org/wiki/Oculus_(film)]",817300000.0,237300000.0,171350000.0,0.722081753055,2
Jenn Murray,Jenn Murray,[https://en.wikipedia.org/wiki/Love_%26_Friendship],19600000.0,3000000.0,6800000.0,2.26666666667,1
Wu Jiang,Wu Jiang,[https://en.wikipedia.org/wiki/Snow_Flower_and_the_Secret_Fan_(film)],11348205.0,6000000.0,-325897.5,-0.05431625,1
James Allen McCune,James Allen McCune,[https://en.wikipedia.org/wiki/Blair_Witch_(film)],45200000.0,5000000.0,17600000.0,3.52,1
Lukas Haas,Lukas Haas,"[https://en.wikipedia.org/wiki/Jobs_(film), https://en.wikipedia.org/wiki/Red_Riding_Hood_(2011_film)]",125062162.0,54000000.0,8531081.0,0.157982981481,2
Dave Franco,Dave Franco,"[https://en.wikipedia.org/wiki/21_Jump_Street_(film), https://en.wikipedia.org/wiki/Neighbors_(2014_film), https://en.wikipedia.org/wiki/Neighbors_2:_Sorority_Rising, https://en.wikipedia.org/wiki/Nerve_(2016_film), https://en.wikipedia.org/wiki/Now_You_See_Me_(film), https://en.wikipedia.org/wiki/Now_You_See_Me_2, https://en.wikipedia.org/wiki/Unfinished_Business_(2015_film), https://en.wikipedia.org/wiki/Warm_Bodies_(film)]",1481600000.0,363000000.0,377800000.0,1.04077134986,8
Heather Burns,Heather Burns,[https://en.wikipedia.org/wiki/The_Fitzgerald_Family_Christmas],0.0,0.0,0.0,,1
Olivia Williams,Olivia Williams,"[https://en.wikipedia.org/wiki/Sabotage_(2014_film), https://en.wikipedia.org/wiki/Seventh_Son_(film)]",131700000.0,130000000.0,-64150000.0,-0.493461538462,2
Jonny Weston,Jonny Weston,"[https://en.wikipedia.org/wiki/About_Cherry, https://en.wikipedia.org/wiki/Chasing_Mavericks, https://en.wikipedia.org/wiki/Project_Almanac]",41500000.0,32000000.0,-11250000.0,-0.3515625,3
Sam Elliott,Sam Elliott,"[https://en.wikipedia.org/wiki/Draft_Day, https://en.wikipedia.org/wiki/Ghost_Rider_(2007_film), https://en.wikipedia.org/wiki/The_Good_Dinosaur]",590400000.0,310000000.0,-14800000.0,-0.0477419354839,3
Lucas Black,Lucas Black,"[https://en.wikipedia.org/wiki/42_(film), https://en.wikipedia.org/wiki/Get_Low_(film), https://en.wikipedia.org/wiki/Legion_(2010_film), https://en.wikipedia.org/wiki/Seven_Days_in_Utopia]",179500000.0,80500000.0,9250000.0,0.114906832298,4
