actor_name,movies,revenues,costs,gross_profit,return,count
Michael Rapaport,[https://en.wikipedia.org/wiki/Little_Boy_(film)],17700000,20000000,-11150000,-0.5575,1
Paul Newman,[https://en.wikipedia.org/wiki/Cars_(film)],462200000,120000000,111100000,0.925833333,1
Sarah Wright,"[https://en.wikipedia.org/wiki/21_%26_Over_(film), https://en.wikipedia.org/wiki/Walk_of_Shame_(film)]",56000000,28000000,0,0,2
Christopher Lambert,[https://en.wikipedia.org/wiki/Ghost_Rider:_Spirit_of_Vengeance],132600000,57000000,9300000,0.163157895,1
Lauren Graham,"[https://en.wikipedia.org/wiki/It%27s_Kind_of_a_Funny_Story_(film), https://en.wikipedia.org/wiki/Max_(2015_film), https://en.wikipedia.org/wiki/Middle_School:_The_Worst_Years_of_My_Life_(film)]",73600000,36500000,300000,0.008219178,3
Kevin McHale,[https://en.wikipedia.org/wiki/Glee:_The_3D_Concert_Movie],18700000,9000000,350000,0.038888889,1
Ken Swift,[https://en.wikipedia.org/wiki/Planet_B-Boy],0,0,0,,1
Johnathon Schaech,"[https://en.wikipedia.org/wiki/Phantom_(2013_film), https://en.wikipedia.org/wiki/The_Legend_of_Hercules]",61300000,70000000,-39350000,-0.562142857,2
Robert John Burke,[https://en.wikipedia.org/wiki/Safe_(2012_film)],40346186,30000000,-9826907,-0.327563567,1
Kristen Stewart,"[https://en.wikipedia.org/wiki/Anesthesia_(film), https://en.wikipedia.org/wiki/Camp_X-Ray_(film), https://en.wikipedia.org/wiki/New_Moon_(2009_film), https://en.wikipedia.org/wiki/Snow_White_%26_the_Huntsman, https://en.wikipedia.org/wiki/Snow_White_and_the_Huntsman, https://en.wikipedia.org/wiki/The_Runaways_(film), https://en.wikipedia.org/wiki/The_Twilight_Saga:_Breaking_Dawn_-_Part_1, https://en.wikipedia.org/wiki/The_Twilight_Saga:_Eclipse, https://en.wikipedia.org/wiki/Welcome_to_the_Rileys]",2918659614,606500000,852829807,1.406149723,9
Devin Ratray,[https://en.wikipedia.org/wiki/Blue_Ruin],993313,420000,76656.5,0.182515476,1
David Kaye,[https://en.wikipedia.org/wiki/Ratchet_%26_Clank_(film)],13000000,20000000,-13500000,-0.675,1
Jeff Dunham,[https://en.wikipedia.org/wiki/The_Nut_Job],120900000,42800000,17650000,0.412383178,1
Billy Burke,"[https://en.wikipedia.org/wiki/Drive_Angry, https://en.wikipedia.org/wiki/Lights_Out_(2016_film), https://en.wikipedia.org/wiki/New_Moon_(2009_film), https://en.wikipedia.org/wiki/Red_Riding_Hood_(2011_film), https://en.wikipedia.org/wiki/The_Twilight_Saga:_Breaking_Dawn_-_Part_1, https://en.wikipedia.org/wiki/The_Twilight_Saga:_Eclipse]",2387362162,342400000,851281081,2.48621811,6
David James,[https://en.wikipedia.org/wiki/Eugene_Khumbanyiwa],210800000,30000000,75400000,2.513333333,1
Wallace Shawn,"[https://en.wikipedia.org/wiki/Cats_%26_Dogs:_The_Revenge_of_Kitty_Galore, https://en.wikipedia.org/wiki/Toy_Story, https://en.wikipedia.org/wiki/Toy_Story_3]",1553100000,315000000,461550000,1.465238095,3
