length,based_on,box_office,budget,cinematography,country,director,distributor,editor,language,music,narration,producer,screenplay,starring,story,written_by,site,title,studio,revenues,check_rev,costs,check_costs,release_dates,release_year,release_month,release_day,stars_list,directors_list
Medusa Film
Tohokushinsha
American Zoetrope
",13900000,<type 'float'>,7000000,<type 'float'>,"[2010-09-11 00:00:00, 2010-12-22 00:00:00]",2010,12,22-Dec,"[[Stephen Dorff, Elle Fanning, Michelle Monaghan], [Stephen Dorff, Elle Fanning, Michelle Monaghan], [Stephen Dorff, Elle Fanning, Michelle Monaghan]]",[[Sofia Coppola]]

109 minutes,The Sorcerer's Apprentice by Johann Wolfgang von Goethe,$215.3 million[2],$150 million[1],Bojan Bazelli,United States,Jon Turteltaub,"Walt Disney Studios
Motion Pictures",William Goldenberg,English,Trevor Rabin,,Jerry Bruckheimer,"


Doug Miro
Carlo Bernard
Matt Lopez


","


Nicolas Cage
Jay Baruchel
Alfred Molina
Teresa Palmer
Monica Bellucci
Omar Benson Miller
Toby Kebbell
Alice Krige
Jake Cherry


","


Matt Lopez
Lawrence Konner
Mark Rosenthal


",,https://en.wikipedia.org/wiki/The_Sorcerer%27s_Apprentice_(2010_film),The Sorcerer's Apprentice,"



Walt Disney Pictures
Jerry Bruckheimer Films
Saturn Films
Broken Road Productions



",215300000,<type 'float'>,150000000,<type 'float'>,"[2010-07-08 00:00:00, 2010-07-14 00:00:00]",2010,7,14-Jul,"[[, , , Nicolas Cage, Jay Baruchel, Alfred Molina, Teresa Palmer, Monica Bellucci, Omar Benson Miller, Toby Kebbell, Alice Krige, Jake Cherry, , , ], [, , , Nicolas Cage, Jay Baruchel, Alfred Molina, Teresa Palmer, Monica Bellucci, Omar Benson Miller, Toby Kebbell, Alice Krige, Jake Cherry, , , ], [, , , Nicolas Cage, Jay Baruchel, Alfred Molina, Teresa Palmer, Monica Bellucci, Omar Benson Miller, Toby Kebbell, Alice Krige, Jake Cherry, , , ], [, , , Nicolas Cage, Jay Baruchel, Alfred Molina, Teresa Palmer, Monica Bellucci, Omar Benson Miller, Toby Kebbell, Alice Krige, Jake Cherry, , , ], [, , , Nicolas Cage, Jay Baruchel, Alfred Molina, Teresa Palmer, Monica Bellucci, Omar Benson Miller, Toby Kebbell, Alice Krige, Jake Cherry, , , ], [, , , Nicolas Cage, Jay Baruchel, Alfred Molina, Teresa Palmer, Monica Bellucci, Omar Benson Miller, Toby Kebbell, Alice Krige, Jake Cherry, , , ], [, , , Nicolas Cage, Jay Baruchel, Alfred Molina, Teresa Palmer, Monica Bellucci, Omar Benson Miller, Toby Kebbell, Alice Krige, Jake Cherry, , , ], [, , , Nicolas Cage, Jay Baruchel, Alfred Molina, Teresa Palmer, Monica Bellucci, Omar Benson Miller, Toby Kebbell, Alice Krige, Jake Cherry, , , ], [, , , Nicolas Cage, Jay Baruchel, Alfred Molina, Teresa Palmer, Monica Bellucci, Omar Benson Miller, Toby Kebbell, Alice Krige, Jake Cherry, , , ], [, , , Nicolas Cage, Jay Baruchel, Alfred Molina, Teresa Palmer, Monica Bellucci, Omar Benson Miller, Toby Kebbell, Alice Krige, Jake Cherry, , , ], [, , , Nicolas Cage, Jay Baruchel, Alfred Molina, Teresa Palmer, Monica Bellucci, Omar Benson Miller, Toby Kebbell, Alice Krige, Jake Cherry, , , ], [, , , Nicolas Cage, Jay Baruchel, Alfred Molina, Teresa Palmer, Monica Bellucci, Omar Benson Miller, Toby Kebbell, Alice Krige, Jake Cherry, , , ], [, , , Nicolas Cage, Jay Baruchel, Alfred Molina, Teresa Palmer, Monica Bellucci, Omar Benson Miller, Toby Kebbell, Alice Krige, Jake Cherry, , , ], [, , , Nicolas Cage, Jay Baruchel, Alfred Molina, Teresa Palmer, Monica Bellucci, Omar Benson Miller, Toby Kebbell, Alice Krige, Jake Cherry, , , ], [, , , Nicolas Cage, Jay Baruchel, Alfred Molina, Teresa Palmer, Monica Bellucci, Omar Benson Miller, Toby Kebbell, Alice Krige, Jake Cherry, , , ]]",[[Jon Turteltaub]]

104 minutes,,$26.9 million[1],$30 million[1],Tetsuo Nagata,"


Canada
France


",Vincenzo Natali,Warner Bros. Pictures,Michele Conroy,English,Cyrille Aufort,,Steve Hoban,"


Vincenzo Natali
Antoinette Terry Bryant
Doug Taylor


","


Adrien Brody
Sarah Polley
Delphine Chan̩ac


","


Vincenzo Natali
Antoinette Terry Bryant


",,https://en.wikipedia.org/wiki/Splice_(film),Splice,"



Dark Castle Entertainment
Gaumont
Copperheart Entertainment
Senator Entertainment
Telefilm Canada



",26900000,<type 'float'>,30000000,<type 'float'>,"[2009-10-06 00:00:00, 2010-06-04 00:00:00]",2010,6,4-Jun,"[[, , , Adrien Brody, Sarah Polley, Delphine Chan̩ac, , , ], [, , , Adrien Brody, Sarah Polley, Delphine Chan̩ac, , , ], [, , , Adrien Brody, Sarah Polley, Delphine Chan̩ac, , , ], [, , , Adrien Brody, Sarah Polley, Delphine Chan̩ac, , , ], [, , , Adrien Brody, Sarah Polley, Delphine Chan̩ac, , , ], [, , , Adrien Brody, Sarah Polley, Delphine Chan̩ac, , , ], [, , , Adrien Brody, Sarah Polley, Delphine Chan̩ac, , , ], [, , , Adrien Brody, Sarah Polley, Delphine Chan̩ac, , , ], [, , , Adrien Brody, Sarah Polley, Delphine Chan̩ac, , , ]]",[[Vincenzo Natali]]

95 minutes,,$45.2 million[1],$28 million,Dean Cundey,United States,Brian Levant,Lionsgate,Lawrence Jordan,English,David Newman,,Robert Simonds,"


Jonathan Bernstein
James Greer
Gregory Poirier


","


Jackie Chan
Amber Valletta
Magn̼s Scheving
Billy Ray Cyrus
George Lopez
Madeline Carroll


","


Jonathan Bernstein
James Greer


",,https://en.wikipedia.org/wiki/The_Spy_Next_Door,The Spy Next Door,"
Relativity Media
",45200000,<type 'float'>,28000000,<type 'float'>,[2010-01-15 00:00:00],2010,1,15-Jan,"[[, , , Jackie Chan, Amber Valletta, Magn̼s Scheving, Billy Ray Cyrus, George Lopez, Madeline Carroll, , , ], [, , , Jackie Chan, Amber Valletta, Magn̼s Scheving, Billy Ray Cyrus, George Lopez, Madeline Carroll, , , ], [, , , Jackie Chan, Amber Valletta, Magn̼s Scheving, Billy Ray Cyrus, George Lopez, Madeline Carroll, , , ], [, , , Jackie Chan, Amber Valletta, Magn̼s Scheving, Billy Ray Cyrus, George Lopez, Madeline Carroll, , , ], [, , , Jackie Chan, Amber Valletta, Magn̼s Scheving, Billy Ray Cyrus, George Lopez, Madeline Carroll, , , ], [, , , Jackie Chan, Amber Valletta, Magn̼s Scheving, Billy Ray Cyrus, George Lopez, Madeline Carroll, , , ], [, , , Jackie Chan, Amber Valletta, Magn̼s Scheving, Billy Ray Cyrus, George Lopez, Madeline Carroll, , , ], [, , , Jackie Chan, Amber Valletta, Magn̼s Scheving, Billy Ray Cyrus, George Lopez, Madeline Carroll, , , ], [, , , Jackie Chan, Amber Valletta, Magn̼s Scheving, Billy Ray Cyrus, George Lopez, Madeline Carroll, , , ], [, , , Jackie Chan, Amber Valletta, Magn̼s Scheving, Billy Ray Cyrus, George Lopez, Madeline Carroll, , , ], [, , , Jackie Chan, Amber Valletta, Magn̼s Scheving, Billy Ray Cyrus, George Lopez, Madeline Carroll, , , ], [, , , Jackie Chan, Amber Valletta, Magn̼s Scheving, Billy Ray Cyrus, George Lopez, Madeline Carroll, , , ]]",[[Brian Levant]]

107 minutes,"Characters
by Duane Adler",$159.3 million[2],$30 million[2],Ken Seng,United States,Jon M. Chu,Walt Disney Studios Motion Pictures,Andrew Marcus,English,Bear McCreary[1],,"


Adam Shankman
Jennifer Gibgot
Patrick Wachsberger
Erik Feig


",,"


Rick Malambri
Adam Sevani
Sharni Vinson
Alyson Stoner


",,"


Amy Andelson
Emily Meyer


",https://en.wikipedia.org/wiki/Step_Up_3D,Step Up 3,"
Touchstone Pictures
Summit Entertainment
Offspring Entertainment
",159300000,<type 'float'>,30000000,<type 'float'>,[2010-08-06 00:00:00],2010,8,6-Aug,"[[, , , Rick Malambri, Adam Sevani, Sharni Vinson, Alyson Stoner, , , ], [, , , Rick Malambri, Adam Sevani, Sharni Vinson, Alyson Stoner, , , ], [, , , Rick Malambri, Adam Sevani, Sharni Vinson, Alyson Stoner, , , ], [, , , Rick Malambri, Adam Sevani, Sharni Vinson, Alyson Stoner, , , ], [, , , Rick Malambri, Adam Sevani, Sharni Vinson, Alyson Stoner, , , ], [, , , Rick Malambri, Adam Sevani, Sharni Vinson, Alyson Stoner, , , ], [, , , Rick Malambri, Adam Sevani, Sharni Vinson, Alyson Stoner, , , ], [, , , Rick Malambri, Adam Sevani, Sharni Vinson, Alyson Stoner, , , ], [, , , Rick Malambri, Adam Sevani, Sharni Vinson, Alyson Stoner, , , ], [, , , Rick Malambri, Adam Sevani, Sharni Vinson, Alyson Stoner, , , ], [, , , Rick Malambri, Adam Sevani, Sharni Vinson, Alyson Stoner, , , ], [, , , Rick Malambri, Adam Sevani, Sharni Vinson, Alyson Stoner, , , ], [, , , Rick Malambri, Adam Sevani, Sharni Vinson, Alyson Stoner, , , ], [, , , Rick Malambri, Adam Sevani, Sharni Vinson, Alyson Stoner, , , ], [, , , Rick Malambri, Adam Sevani, Sharni Vinson, Alyson Stoner, , , ], [, , , Rick Malambri, Adam Sevani, Sharni Vinson, Alyson Stoner, , , ], [, , , Rick Malambri, Adam Sevani, Sharni Vinson, Alyson Stoner, , , ], [, , , Rick Malambri, Adam Sevani, Sharni Vinson, Alyson Stoner, , , ], [, , , Rick Malambri, Adam Sevani, Sharni Vinson, Alyson Stoner, , , ], [, , , Rick Malambri, Adam Sevani, Sharni Vinson, Alyson Stoner, , , ]]","[[Jon M. Chu], [Jon M. Chu]]"

98 minutes,"Characters
by Duane Adler",$150.8 million[2],$17.5 million[1],Max Malkin,United States,Jon M. Chu,Walt Disney Studios Motion Pictures,"Nicholas Erasmus
Andrew Marcus",English,Aaron Zigman,,"Erik Feig
Jennifer Gibgot
Adam Shankman
Patrick Wachsberger",,"Briana Evigan
Robert Hoffman
Adam G. Sevani
Will Kemp
Cassie Ventura",,"Toni Ann Johnson
Karen Barna",https://en.wikipedia.org/wiki/Step_Up_2:_The_Streets,Step Up 2: The Streets,"
Touchstone Pictures
Summit Entertainment
Offspring Entertainment
",150800000,<type 'float'>,17500000,<type 'float'>,[2008-02-14 00:00:00],2008,2,14-Feb,"[[Briana Evigan, Robert Hoffman, Adam G. Sevani, Will Kemp, Cassie Ventura], [Briana Evigan, Robert Hoffman, Adam G. Sevani, Will Kemp, Cassie Ventura], [Briana Evigan, Robert Hoffman, Adam G. Sevani, Will Kemp, Cassie Ventura], [Briana Evigan, Robert Hoffman, Adam G. Sevani, Will Kemp, Cassie Ventura], [Briana Evigan, Robert Hoffman, Adam G. Sevani, Will Kemp, Cassie Ventura]]",[[Jon M. Chu]]

105 minutes,,"$9,479,718[1]",$22 million,Maryse Alberti,United States,John Curran,"Overture Films
Relativity Media",Alexandre de Franceschi,English,,,"Holly Wiersma
David Mimran
Jordan Schur",,"Robert De Niro
Edward Norton
Milla Jovovich
Frances Conroy",,Angus MacLachlan,https://en.wikipedia.org/wiki/Stone_(2010_film),Stone,"
Mimran Schur Pictures
",9479718,<type 'float'>,22000000,<type 'float'>,"[2010-09-10 00:00:00, 2010-10-08 00:00:00]",2010,10,8-Oct,"[[Robert De Niro, Edward Norton, Milla Jovovich, Frances Conroy], [Robert De Niro, Edward Norton, Milla Jovovich, Frances Conroy], [Robert De Niro, Edward Norton, Milla Jovovich, Frances Conroy], [Robert De Niro, Edward Norton, Milla Jovovich, Frances Conroy]]",[[John Curran]]

101 minutes,"The Baster
by Jeffrey Eugenides",$49.9 million[2],$19 million[1],Jess Hall,United States,"


Will Speck
Josh Gordon


",Miramax Films,John Axelrad,English,Alex Wurman,,"


Albert Berger
Ron Yerxa


",Allan Loeb,"


Jennifer Aniston
Jason Bateman
Patrick Wilson
Juliette Lewis
Jeff Goldblum


",,,https://en.wikipedia.org/wiki/The_Switch_(2010_film),The Switch,"



Mandate Pictures
Echo Films



",49900000,<type 'float'>,19000000,<type 'float'>,"[2010-08-16 00:00:00, 2010-08-20 00:00:00]",2010,8,20-Aug,"[[, , , Jennifer Aniston, Jason Bateman, Patrick Wilson, Juliette Lewis, Jeff Goldblum, , , ], [, , , Jennifer Aniston, Jason Bateman, Patrick Wilson, Juliette Lewis, Jeff Goldblum, , , ], [, , , Jennifer Aniston, Jason Bateman, Patrick Wilson, Juliette Lewis, Jeff Goldblum, , , ], [, , , Jennifer Aniston, Jason Bateman, Patrick Wilson, Juliette Lewis, Jeff Goldblum, , , ], [, , , Jennifer Aniston, Jason Bateman, Patrick Wilson, Juliette Lewis, Jeff Goldblum, , , ], [, , , Jennifer Aniston, Jason Bateman, Patrick Wilson, Juliette Lewis, Jeff Goldblum, , , ], [, , , Jennifer Aniston, Jason Bateman, Patrick Wilson, Juliette Lewis, Jeff Goldblum, , , ], [, , , Jennifer Aniston, Jason Bateman, Patrick Wilson, Juliette Lewis, Jeff Goldblum, , , ], [, , , Jennifer Aniston, Jason Bateman, Patrick Wilson, Juliette Lewis, Jeff Goldblum, , , ], [, , , Jennifer Aniston, Jason Bateman, Patrick Wilson, Juliette Lewis, Jeff Goldblum, , , ], [, , , Jennifer Aniston, Jason Bateman, Patrick Wilson, Juliette Lewis, Jeff Goldblum, , , ]]","[[, , , Will Speck, Josh Gordon, , , ], [, , , Will Speck, Josh Gordon, , , ], [, , , Will Speck, Josh Gordon, , , ], [, , , Will Speck, Josh Gordon, , , ], [, , , Will Speck, Josh Gordon, , , ], [, , , Will Speck, Josh Gordon, , , ], [, , , Will Speck, Josh Gordon, , , ], [, , , Will Speck, Josh Gordon, , , ]]"

107 minutes,,$69.1 million[2],$32 million[1],Michael Barrett,United States,John Luessenhop,Screen Gems,"


Armen Minasian


",English,Paul Haslinger,,"


Will Packer
T.I.
Tom Lassally
Jason Geter
Gary Gilbert
Morris Chestnut (exec. producer)
Chris Brown (exec. producer)


","


Peter Allen
Gabriel Casseus
John Luessenhop
Avery Duff


","


Matt Dillon
Paul Walker
Idris Elba
Jay Hernandez
Michael Ealy
Tip ""T.I."" Harris
Chris Brown
Hayden Christensen


","


Gabriel Casseus
Peter Allen
John Rogers


",,https://en.wikipedia.org/wiki/Takers,Takers,"



Rainforest Films
Grand Hustle Films



",69100000,<type 'float'>,32000000,<type 'float'>,"[2010-08-04 00:00:00, 2010-08-27 00:00:00]",2010,8,27-Aug,"[[, , , Matt Dillon, Paul Walker, Idris Elba, Jay Hernandez, Michael Ealy, Tip ""T.I."" Harris, Chris Brown, Hayden Christensen, , , ], [, , , Matt Dillon, Paul Walker, Idris Elba, Jay Hernandez, Michael Ealy, Tip ""T.I."" Harris, Chris Brown, Hayden Christensen, , , ], [, , , Matt Dillon, Paul Walker, Idris Elba, Jay Hernandez, Michael Ealy, Tip ""T.I."" Harris, Chris Brown, Hayden Christensen, , , ], [, , , Matt Dillon, Paul Walker, Idris Elba, Jay Hernandez, Michael Ealy, Tip ""T.I."" Harris, Chris Brown, Hayden Christensen, , , ], [, , , Matt Dillon, Paul Walker, Idris Elba, Jay Hernandez, Michael Ealy, Tip ""T.I."" Harris, Chris Brown, Hayden Christensen, , , ], [, , , Matt Dillon, Paul Walker, Idris Elba, Jay Hernandez, Michael Ealy, Tip ""T.I."" Harris, Chris Brown, Hayden Christensen, , , ], [, , , Matt Dillon, Paul Walker, Idris Elba, Jay Hernandez, Michael Ealy, Tip ""T.I."" Harris, Chris Brown, Hayden Christensen, , , ], [, , , Matt Dillon, Paul Walker, Idris Elba, Jay Hernandez, Michael Ealy, Tip ""T.I."" Harris, Chris Brown, Hayden Christensen, , , ], [, , , Matt Dillon, Paul Walker, Idris Elba, Jay Hernandez, Michael Ealy, Tip ""T.I."" Harris, Chris Brown, Hayden Christensen, , , ], [, , , Matt Dillon, Paul Walker, Idris Elba, Jay Hernandez, Michael Ealy, Tip ""T.I."" Harris, Chris Brown, Hayden Christensen, , , ], [, , , Matt Dillon, Paul Walker, Idris Elba, Jay Hernandez, Michael Ealy, Tip ""T.I."" Harris, Chris Brown, Hayden Christensen, , , ], [, , , Matt Dillon, Paul Walker, Idris Elba, Jay Hernandez, Michael Ealy, Tip ""T.I."" Harris, Chris Brown, Hayden Christensen, , , ], [, , , Matt Dillon, Paul Walker, Idris Elba, Jay Hernandez, Michael Ealy, Tip ""T.I."" Harris, Chris Brown, Hayden Christensen, , , ], [, , , Matt Dillon, Paul Walker, Idris Elba, Jay Hernandez, Michael Ealy, Tip ""T.I."" Harris, Chris Brown, Hayden Christensen, , , ]]",[[John Luessenhop]]

100 minutes[1],"Rapunzel
by Brothers Grimm",$591.8 million[3],$260 million[2][3],,United States,"


Nathan Greno
Byron Howard


","Walt Disney Studios
Motion Pictures",Tim Mertens,English,Alan Menken,,"


Roy Conli
John Lasseter
Glen Keane


",Dan Fogelman,"


Mandy Moore
Zachary Levi
Donna Murphy


",,,https://en.wikipedia.org/wiki/Tangled_(2010_film),Tangled,"



Walt Disney Pictures
Walt Disney Animation Studios



",591800000,<type 'float'>,260000000,<type 'float'>,"[2010-11-14 00:00:00, 2010-11-24 00:00:00]",2010,11,24-Nov,"[[, , , Mandy Moore, Zachary Levi, Donna Murphy, , , ], [, , , Mandy Moore, Zachary Levi, Donna Murphy, , , ], [, , , Mandy Moore, Zachary Levi, Donna Murphy, , , ], [, , , Mandy Moore, Zachary Levi, Donna Murphy, , , ], [, , , Mandy Moore, Zachary Levi, Donna Murphy, , , ], [, , , Mandy Moore, Zachary Levi, Donna Murphy, , , ], [, , , Mandy Moore, Zachary Levi, Donna Murphy, , , ], [, , , Mandy Moore, Zachary Levi, Donna Murphy, , , ], [, , , Mandy Moore, Zachary Levi, Donna Murphy, , , ]]","[[, , , Nathan Greno, Byron Howard, , , ], [, , , Nathan Greno, Byron Howard, , , ], [, , , Nathan Greno, Byron Howard, , , ], [, , , Nathan Greno, Byron Howard, , , ], [, , , Nathan Greno, Byron Howard, , , ], [, , , Nathan Greno, Byron Howard, , , ], [, , , Nathan Greno, Byron Howard, , , ], [, , , Nathan Greno, Byron Howard, , , ]]"

120 minutes,"The Tempest
by William Shakespeare","$346,594[1]",$20 million[1],Stuart Dryburgh,United States,Julie Taymor,"Walt Disney Studios
Motion Pictures",Fran̤oise Bonnot,English,Elliot Goldenthal,,"Julie Taymor
Robert Chartoff
Lynn Hendee
Julia Taylor-Stanley
Jason K. Lau",Julie Taymor,"Helen Mirren
Russell Brand
Reeve Carney
Tom Conti
Chris Cooper
Alan Cumming
Djimon Hounsou
Felicity Jones
Alfred Molina
David Strathairn
Ben Whishaw",,,https://en.wikipedia.org/wiki/The_Tempest_(2009_film),The Tempest,"
Touchstone Pictures
Miramax Films
Chartoff/Hendee Productions
TalkStory Productions
Artemis Films
Mumbai Mantra Media Limited
",346594,<type 'float'>,20000000,<type 'float'>,"[2010-09-11 00:00:00, 2010-12-10 00:00:00]",2010,12,10-Dec,"[[Helen Mirren, Russell Brand, Reeve Carney, Tom Conti, Chris Cooper, Alan Cumming, Djimon Hounsou, Felicity Jones, Alfred Molina, David Strathairn, Ben Whishaw], [Helen Mirren, Russell Brand, Reeve Carney, Tom Conti, Chris Cooper, Alan Cumming, Djimon Hounsou, Felicity Jones, Alfred Molina, David Strathairn, Ben Whishaw], [Helen Mirren, Russell Brand, Reeve Carney, Tom Conti, Chris Cooper, Alan Cumming, Djimon Hounsou, Felicity Jones, Alfred Molina, David Strathairn, Ben Whishaw], [Helen Mirren, Russell Brand, Reeve Carney, Tom Conti, Chris Cooper, Alan Cumming, Djimon Hounsou, Felicity Jones, Alfred Molina, David Strathairn, Ben Whishaw], [Helen Mirren, Russell Brand, Reeve Carney, Tom Conti, Chris Cooper, Alan Cumming, Djimon Hounsou, Felicity Jones, Alfred Molina, David Strathairn, Ben Whishaw], [Helen Mirren, Russell Brand, Reeve Carney, Tom Conti, Chris Cooper, Alan Cumming, Djimon Hounsou, Felicity Jones, Alfred Molina, David Strathairn, Ben Whishaw], [Helen Mirren, Russell Brand, Reeve Carney, Tom Conti, Chris Cooper, Alan Cumming, Djimon Hounsou, Felicity Jones, Alfred Molina, David Strathairn, Ben Whishaw], [Helen Mirren, Russell Brand, Reeve Carney, Tom Conti, Chris Cooper, Alan Cumming, Djimon Hounsou, Felicity Jones, Alfred Molina, David Strathairn, Ben Whishaw], [Helen Mirren, Russell Brand, Reeve Carney, Tom Conti, Chris Cooper, Alan Cumming, Djimon Hounsou, Felicity Jones, Alfred Molina, David Strathairn, Ben Whishaw], [Helen Mirren, Russell Brand, Reeve Carney, Tom Conti, Chris Cooper, Alan Cumming, Djimon Hounsou, Felicity Jones, Alfred Molina, David Strathairn, Ben Whishaw], [Helen Mirren, Russell Brand, Reeve Carney, Tom Conti, Chris Cooper, Alan Cumming, Djimon Hounsou, Felicity Jones, Alfred Molina, David Strathairn, Ben Whishaw]]",[[Julie Taymor]]

101 minutes,,$112.5 million[2],$48 million[1],David Tattersall,"Canada
United States",Michael Lembeck,20th Century Fox,David Finfer,English,George S. Clinton,,"Jim Piddock
Jason Blum
Mark Ciardi
Gordon Gray","Lowell Ganz
Babaloo Mandel
Randi Mayem Singer
Joshua Sternin
Jeffrey Ventimilia","Dwayne Johnson
Ashley Judd
Stephen Merchant
Ryan Sheckler
Seth MacFarlane
Julie Andrews",Jim Piddock,,https://en.wikipedia.org/wiki/Tooth_Fairy_(2010_film),Tooth Fairy,"
Walden Media
Mayhem Pictures
Blumhouse Productions
Dune Entertainment
",112500000,<type 'float'>,48000000,<type 'float'>,"[2010-01-15 00:00:00, 2010-01-22 00:00:00]",2010,1,22-Jan,"[[Dwayne Johnson, Ashley Judd, Stephen Merchant, Ryan Sheckler, Seth MacFarlane, Julie Andrews], [Dwayne Johnson, Ashley Judd, Stephen Merchant, Ryan Sheckler, Seth MacFarlane, Julie Andrews], [Dwayne Johnson, Ashley Judd, Stephen Merchant, Ryan Sheckler, Seth MacFarlane, Julie Andrews], [Dwayne Johnson, Ashley Judd, Stephen Merchant, Ryan Sheckler, Seth MacFarlane, Julie Andrews], [Dwayne Johnson, Ashley Judd, Stephen Merchant, Ryan Sheckler, Seth MacFarlane, Julie Andrews], [Dwayne Johnson, Ashley Judd, Stephen Merchant, Ryan Sheckler, Seth MacFarlane, Julie Andrews]]",[[Michael Lembeck]]

124 minutes[1],"Prince of Thieves
by Chuck Hogan",$154 million[3],$37 million[2],Robert Elswit,United States,Ben Affleck,Warner Bros. Pictures,Dylan Tichenor,English,"


Harry Gregson-Williams
David Buckley


",,"


Graham King
Basil Iwanyk


","


Ben Affleck
Peter Craig
Aaron Stockard


","


Ben Affleck
Rebecca Hall
Jon Hamm
Jeremy Renner
Blake Lively
Titus Welliver
Pete Postlethwaite
Chris Cooper


",,,https://en.wikipedia.org/wiki/The_Town_(2010_film),The Town,"
