0,director_name,movies,revenues,costs,gross_profit,return,count
Kevin Asch,Kevin Asch,[https://en.wikipedia.org/wiki/Holy_Rollers_(film)],0.0,0.0,0.0,,1
Philip Seymour Hoffman,Philip Seymour Hoffman,[https://en.wikipedia.org/wiki/Jack_Goes_Boating_(film)],0.0,0.0,0.0,,1
David Soren,David Soren,[https://en.wikipedia.org/wiki/Turbo_(film)],282600000.0,127000000.0,14300000.0,0.112598425197,1
Mitch Glazer,Mitch Glazer,[https://en.wikipedia.org/wiki/Passion_Play_(film)],3669.0,15000000.0,-14998165.5,-0.9998777,1
Paul Johansson,Paul Johansson,"[https://en.wikipedia.org/wiki/Atlas_Shrugged:_Part_I, https://en.wikipedia.org/wiki/Atlas_Shrugged:_Part_I]",9254750.0,40000000.0,-35372625.0,-0.884315625,2
John Lee Hancock,John Lee Hancock,"[https://en.wikipedia.org/wiki/Saving_Mr._Banks, https://en.wikipedia.org/wiki/The_Founder_(film)]",134000000.0,42000000.0,25000000.0,0.595238095238,2
David E. Talbert,David E. Talbert,[https://en.wikipedia.org/wiki/Baggage_Claim_(film)],22456509.0,8500000.0,2728254.5,0.320971117647,1
Michael Mann,Michael Mann,[https://en.wikipedia.org/wiki/Blackhat_(film)],19700000.0,70000000.0,-60150000.0,-0.859285714286,1
Jake Scott,Jake Scott,[https://en.wikipedia.org/wiki/Welcome_to_the_Rileys],317382.0,10000000.0,-9841309.0,-0.9841309,1
Lee Tamahori,Lee Tamahori,[https://en.wikipedia.org/wiki/The_Devil%27s_Double],4800000.0,19100000.0,-16700000.0,-0.874345549738,1
Joe Swanberg,Joe Swanberg,"[https://en.wikipedia.org/wiki/Drinking_Buddies, https://en.wikipedia.org/wiki/Happy_Christmas_(film)]",373653.0,1070000.0,-883173.5,-0.825395794393,2
Gary McKendry,Gary McKendry,[https://en.wikipedia.org/wiki/Killer_Elite_(film)],56300000.0,70000000.0,-41850000.0,-0.597857142857,1
Dito Montiel,Dito Montiel,"[https://en.wikipedia.org/wiki/The_Son_of_No_One, https://en.wikipedia.org/wiki/Empire_State_(2013_film)]",4800000.0,26000000.0,-23600000.0,-0.907692307692,2
"Dan Cutforth
Jane Lipsitz","Dan Cutforth
Jane Lipsitz",[https://en.wikipedia.org/wiki/Katy_Perry:_Part_of_Me_3D],32726956.0,13000000.0,3363478.0,0.258729076923,1
Trish Sie,Trish Sie,[https://en.wikipedia.org/wiki/Step_Up:_All_In],86200000.0,45000000.0,-1900000.0,-0.0422222222222,1
John Putch,John Putch,"[https://en.wikipedia.org/wiki/Atlas_Shrugged:_Part_II, https://en.wikipedia.org/wiki/Atlas_Shrugged:_Part_II]",6672106.0,20000000.0,-16663947.0,-0.83319735,2
Nate Parker,Nate Parker,[https://en.wikipedia.org/wiki/The_Birth_of_a_Nation_(2016_film)],16500000.0,8500000.0,-250000.0,-0.0294117647059,1
Paul Schrader,Paul Schrader,[https://en.wikipedia.org/wiki/The_Canyons_(film)],265670.0,250000.0,-117165.0,-0.46866,1
"Chris Kentis
Laura Lau","Chris Kentis
Laura Lau",[https://en.wikipedia.org/wiki/Silent_House_(film)],13100000.0,2000000.0,4550000.0,2.275,1
Ridley Scott,Ridley Scott,"[https://en.wikipedia.org/wiki/Robin_Hood_(2010_film), https://en.wikipedia.org/wiki/Prometheus_(2012_film), https://en.wikipedia.org/wiki/The_Counselor_(film), https://en.wikipedia.org/wiki/Exodus:_Gods_and_Kings, https://en.wikipedia.org/wiki/The_Martian_(film)]",1694500000.0,593000000.0,254250000.0,0.428752107926,5
John Sturges,John Sturges,[https://en.wikipedia.org/wiki/The_Magnificent_Seven],2250000.0,2000000.0,-875000.0,-0.4375,1
Miguel Sapochnik,Miguel Sapochnik,[https://en.wikipedia.org/wiki/Repo_Men],18409891.0,32000000.0,-22795054.5,-0.712345453125,1
"John Stevenson
Mark Osborne","John Stevenson
Mark Osborne",[https://en.wikipedia.org/wiki/Kung_Fu_Panda],631700000.0,130000000.0,185850000.0,1.42961538462,1
John Erick Dowdle,John Erick Dowdle,"[https://en.wikipedia.org/wiki/Devil_(2010_film), https://en.wikipedia.org/wiki/As_Above,_So_Below_(film), https://en.wikipedia.org/wiki/No_Escape_(2015_film)]",159600000.0,20000000.0,59800000.0,2.99,3
Guillermo del Toro,Guillermo del Toro,"[https://en.wikipedia.org/wiki/Pacific_Rim_(film), https://en.wikipedia.org/wiki/Crimson_Peak]",486000000.0,245000000.0,-2000000.0,-0.00816326530612,2
